Classname,Name
I_Mortar_01_support_F,Folded Mk6 Mortar Bipod [AAF]
O_Mortar_01_support_F,Folded Mk6 Mortar Bipod [CSAT]
B_Mortar_01_support_F,Folded Mk6 Mortar Bipod [NATO]
I_Mortar_01_weapon_F,Folded Mk6 Mortar Tube [AAF]
O_Mortar_01_weapon_F,Folded Mk6 Mortar Tube [CSAT]
B_Mortar_01_weapon_F,Folded Mk6 Mortar Tube [NATO]
I_HMG_01_support_high_F,Folded Tripod (Raised) [AAF]
O_HMG_01_support_high_F,Folded Tripod (Raised) [CSAT]
B_HMG_01_support_high_F,Folded Tripod (Raised) [NATO]
I_HMG_01_support_F,Folded Tripod [AAF]
O_HMG_01_support_F,Folded Tripod [CSAT]
B_HMG_01_support_F,Folded Tripod [NATO]
B_Kitbag_cbr,Kitbag (Coyote)
B_Kitbag_rgr,Kitbag (Green)
B_Kitbag_mcamo,Kitbag (MTP)
B_Kitbag_sgg,Kitbag (Sage)
O_Static_Designator_02_weapon_F,Remote Designator Bag [CSAT]
B_Static_Designator_01_weapon_F,Remote Designator Bag [NATO]
I_AA_01_weapon_F,Static Titan Launcher (AA) [AAF]
O_AA_01_weapon_F,Static Titan Launcher (AA) [CSAT]
B_AA_01_weapon_F,Static Titan Launcher (AA) [NATO]
I_AT_01_weapon_F,Static Titan Launcher (AT) [AAF]
O_AT_01_weapon_F,Static Titan Launcher (AT) [CSAT]
B_AT_01_weapon_F,Static Titan Launcher (AT) [NATO]
B_Parachute,Steerable Parachute
B_TacticalPack_blk,Tactical Backpack (Black)
B_TacticalPack_rgr,Tactical Backpack (Green)
B_TacticalPack_ocamo,Tactical Backpack (Hex)
B_TacticalPack_mcamo,Tactical Backpack (MTP)
B_TacticalPack_oli,Tactical Backpack (Olive)
I_UAV_01_backpack_F,UAV Bag [AAF]
O_UAV_01_backpack_F,UAV Bag [CSAT]
B_UAV_01_backpack_F,UAV Bag [NATO]
B_AssaultPack_Kerry,US Assault Pack (Kerry)
B_ViperHarness_blk_F,Viper Harness (Black)
B_ViperHarness_ghex_F,Viper Harness (Green Hex)
B_ViperHarness_hex_F,Viper Harness (Hex)
B_ViperHarness_khk_F,Viper Harness (Khaki)
B_ViperHarness_oli_F,Viper Harness (Olive)
B_ViperLightHarness_blk_F,Viper Light Harness (Black)
B_ViperLightHarness_ghex_F,Viper Light Harness (Green Hex)
B_ViperLightHarness_hex_F,Viper Light Harness (Hex)
B_ViperLightHarness_khk_F,Viper Light Harness (Khaki)
B_ViperLightHarness_oli_F,Viper Light Harness (Olive)
V_PlateCarrierGL_blk,Carrier GL Rig (Black)
V_PlateCarrierGL_rgr,Carrier GL Rig (Green)
V_PlateCarrierGL_mtp,Carrier GL Rig (MTP)
V_PlateCarrierGL_tna_F,Carrier GL Rig (Tropic)
V_PlateCarrier1_blk,Carrier Lite (Black)
V_PlateCarrier1_rgr_noflag_F,Carrier Lite (Green, No Flag)
V_PlateCarrier1_rgr,Carrier Lite (Green)
V_PlateCarrier1_tna_F,Carrier Lite (Tropic)
V_PlateCarrier2_blk,Carrier Rig (Black)
V_PlateCarrier2_rgr_noflag_F,Carrier Rig (Green, No Flag)
V_PlateCarrier2_rgr,Carrier Rig (Green)
V_PlateCarrier2_tna_F,Carrier Rig (Tropic)
V_PlateCarrierSpec_blk,Carrier Special Rig (Black)
V_PlateCarrierSpec_rgr,Carrier Special Rig (Green)
V_PlateCarrierSpec_mtp,Carrier Special Rig (MTP)
V_PlateCarrierSpec_tna_F,Carrier Special Rig (Tropic)
V_Chestrig_blk,Chest Rig (Black)
V_Chestrig_rgr,Chest Rig (Green)
V_Chestrig_khk,Chest Rig (Khaki)
V_Chestrig_oli,Chest Rig (Olive)
V_PlateCarrierL_CTRG,CTRG Plate Carrier Rig Mk.1 (Light)
V_PlateCarrierH_CTRG,CTRG Plate Carrier Rig Mk.2 (Heavy)
V_PlateCarrierIAGL_dgtl,GA Carrier GL Rig (Digi)
V_PlateCarrierIAGL_oli,GA Carrier GL Rig (Olive)
V_PlateCarrierIA1_dgtl,GA Carrier Lite (Digi)
V_PlateCarrierIA2_dgtl,GA Carrier Rig (Digi)
V_TacVest_gen_F,Gendarmerie Vest
V_HarnessOGL_brn,LBV Grenadier Harness
V_HarnessOGL_ghex_F,LBV Grenadier Harness (Green Hex)
V_HarnessOGL_gry,LBV Grenadier Harness (Grey)
V_HarnessO_brn,LBV Harness
V_HarnessO_ghex_F,LBV Harness (Green Hex)
V_HarnessO_gry,LBV Harness (Grey)
V_Rangemaster_belt,Rangemaster Belt
V_TacVestIR_blk,Raven Vest
V_RebreatherIA,Rebreather [AAF]
V_RebreatherIR,Rebreather [CSAT]
V_RebreatherB,Rebreather [NATO]
V_BandollierB_blk,Slash Bandolier (Black)
V_BandollierB_cbr,Slash Bandolier (Coyote)
V_BandollierB_ghex_F,Slash Bandolier (Green Hex)
V_BandollierB_rgr,Slash Bandolier (Green)
V_BandollierB_khk,Slash Bandolier (Khaki)
V_BandollierB_oli,Slash Bandolier (Olive)
V_TacChestrig_cbr_F,Tactical Chest Rig (Coyote)
V_TacChestrig_grn_F,Tactical Chest Rig (Green)
V_TacChestrig_oli_F,Tactical Chest Rig (Olive)
V_TacVest_blk,Tactical Vest (Black)
V_TacVest_brn,Tactical Vest (Brown)
V_TacVest_camo,Tactical Vest (Camo)
V_TacVest_khk,Tactical Vest (Khaki)
V_TacVest_oli,Tactical Vest (Olive)
V_TacVest_blk_POLICE,Tactical Vest (Police)
V_I_G_resistanceLeader_F,Tactical Vest (Stavrou)
V_PlateCarrier_Kerry,US Plate Carrier Rig (Kerry)
V_Press_F,Vest (Press)
H_HelmetSpecO_blk,Assassin Helmet (Black)
H_HelmetSpecO_ghex_F,Assassin Helmet (Green Hex)
H_HelmetSpecO_ocamo,Assassin Helmet (Hex)
H_Bandanna_gry,Bandana (Black)
H_Bandanna_blu,Bandana (Blue)
H_Bandanna_cbr,Bandana (Coyote)
H_Bandanna_khk_hs,Bandana (Headset)
H_Bandanna_khk,Bandana (Khaki)
H_Bandanna_mcamo,Bandana (MTP)
H_Bandanna_sgg,Bandana (Sage)
H_Bandanna_sand,Bandana (Sand)
H_Bandanna_surfer_blk,Bandana (Surfer, Black)
H_Bandanna_surfer_grn,Bandana (Surfer, Green)
H_Bandanna_surfer,Bandana (Surfer)
H_Bandanna_camo,Bandana (Woodland)
H_Watchcap_blk,Beanie
H_Watchcap_cbr,Beanie (Coyote)
H_Watchcap_camo,Beanie (Green)
H_Watchcap_khk,Beanie (Khaki)
H_Beret_blk,Beret (Black)
H_Beret_gen_F,Beret (Gendarmerie)
H_Beret_02,Beret [NATO]
H_Beret_Colonel,Beret [NATO] (Colonel)
H_Booniehat_khk_hs,Booniehat (Headset)
H_Booniehat_khk,Booniehat (Khaki)
H_Booniehat_mcamo,Booniehat (MTP)
H_Booniehat_oli,Booniehat (Olive)
H_Booniehat_tan,Booniehat (Sand)
H_Booniehat_tna_F,Booniehat (Tropic)
H_Booniehat_dgtl,Booniehat [AAF]
H_Cap_grn_BI,Cap (BI)
H_Cap_blk,Cap (Black)
H_Cap_blu,Cap (Blue)
H_Cap_blk_CMMG,Cap (CMMG)
H_Cap_grn,Cap (Green)
H_Cap_blk_ION,Cap (ION)
H_Cap_oli_hs,Cap (Olive, Headset)
H_Cap_oli,Cap (Olive)
H_Cap_police,Cap (Police)
H_Cap_press,Cap (Press)
H_Cap_red,Cap (Red)
H_Cap_surfer,Cap (Surfer)
H_Cap_tan,Cap (Tan)
H_Cap_khaki_specops_UK,Cap (UK)
H_Cap_usblack,Cap (US Black)
H_Cap_tan_specops_US,Cap (US MTP)
H_Cap_blk_Raven,Cap [AAF]
H_Cap_brn_SPECOPS,Cap [OPFOR]
H_HelmetB_black,Combat Helmet (Black)
H_HelmetB_camo,Combat Helmet (Camo)
H_HelmetB_desert,Combat Helmet (Desert)
H_HelmetB_grass,Combat Helmet (Grass)
H_HelmetB_sand,Combat Helmet (Sand)
H_HelmetB_snakeskin,Combat Helmet (Snakeskin)
H_HelmetB_tna_F,Combat Helmet (Tropic)
H_HelmetCrew_O_ghex_F,Crew Helmet (Green Hex) [CSAT]
H_HelmetCrew_I,Crew Helmet [AAF]
H_HelmetCrew_O,Crew Helmet [CSAT]
H_HelmetCrew_B,Crew Helmet [NATO]
H_HelmetLeaderO_ghex_F,Defender Helmet (Green Hex)
H_HelmetLeaderO_ocamo,Defender Helmet (Hex)
H_HelmetLeaderO_oucamo,Defender Helmet (Urban)
H_HelmetSpecB,Enhanced Combat Helmet
H_HelmetSpecB_blk,Enhanced Combat Helmet (Black)
H_HelmetSpecB_paint2,Enhanced Combat Helmet (Desert)
H_HelmetSpecB_paint1,Enhanced Combat Helmet (Grass)
H_HelmetSpecB_sand,Enhanced Combat Helmet (Sand)
H_HelmetSpecB_snakeskin,Enhanced Combat Helmet (Snakeskin)
H_HelmetB_Enh_tna_F,Enhanced Combat Helmet (Tropic)
H_Hat_blue,Hat (Blue)
H_Hat_brown,Hat (Brown)
H_Hat_camo,Hat (Camo)
H_Hat_checker,Hat (Checker)
H_Hat_grey,Hat (Grey)
H_Hat_tan,Hat (Tan)
H_CrewHelmetHeli_I,Heli Crew Helmet [AAF]
H_CrewHelmetHeli_O,Heli Crew Helmet [CSAT]
H_CrewHelmetHeli_B,Heli Crew Helmet [NATO]
H_PilotHelmetHeli_I,Heli Pilot Helmet [AAF]
H_PilotHelmetHeli_O,Heli Pilot Helmet [CSAT]
H_PilotHelmetHeli_B,Heli Pilot Helmet [NATO]
H_HelmetB_light,Light Combat Helmet
H_HelmetB_light_black,Light Combat Helmet (Black)
H_HelmetB_light_desert,Light Combat Helmet (Desert)
H_HelmetB_light_grass,Light Combat Helmet (Grass)
H_HelmetB_light_sand,Light Combat Helmet (Sand)
H_HelmetB_light_snakeskin,Light Combat Helmet (Snakeskin)
H_HelmetB_Light_tna_F,Light Combat Helmet (Tropic)
H_Cap_marshal,Marshal Cap
H_MilCap_blue,Military Cap (Blue)
H_MilCap_gen_F,Military Cap (Gendarmerie)
H_MilCap_ghex_F,Military Cap (Green Hex)
H_MilCap_gry,Military Cap (Grey)
H_MilCap_ocamo,Military Cap (Hex)
H_MilCap_mcamo,Military Cap (MTP)
H_MilCap_tna_F,Military Cap (Tropic)
H_MilCap_dgtl,Military Cap [AAF]
H_HelmetIA,Modular Helmet
H_PilotHelmetFighter_I,Pilot Helmet [AAF]
H_PilotHelmetFighter_O,Pilot Helmet [CSAT]
H_PilotHelmetFighter_B,Pilot Helmet [NATO]
H_HelmetO_ghex_F,Protector Helmet (Green Hex)
H_HelmetO_ocamo,Protector Helmet (Hex)
H_HelmetO_oucamo,Protector Helmet (Urban)
H_RacingHelmet_1_black_F,Racing Helmet (Black)
H_RacingHelmet_1_blue_F,Racing Helmet (Blue)
H_RacingHelmet_2_F,Racing Helmet (Bluking)
H_RacingHelmet_1_F,Racing Helmet (Fuel)
H_RacingHelmet_1_green_F,Racing Helmet (Green)
H_RacingHelmet_1_orange_F,Racing Helmet (Orange)
H_RacingHelmet_1_red_F,Racing Helmet (Red)
H_RacingHelmet_3_F,Racing Helmet (Redstone)
H_RacingHelmet_4_F,Racing Helmet (Vrana)
H_RacingHelmet_1_white_F,Racing Helmet (White)
H_RacingHelmet_1_yellow_F,Racing Helmet (Yellow)
H_Cap_headphones,Rangemaster Cap
H_Shemag_olive_hs,Shemag (Olive, Headset)
H_Shemag_olive,Shemag (Olive)
H_ShemagOpen_tan,Shemag (Tan)
H_ShemagOpen_khk,Shemag (White)
H_Helmet_Skate,Skate Helmet
H_HelmetO_ViperSP_ghex_F,Special Purpose Helmet (Green Hex)
H_HelmetO_ViperSP_hex_F,Special Purpose Helmet (Hex)
H_HelmetB_TI_tna_F,Stealth Combat Helmet
H_StrawHat,Straw Hat
H_StrawHat_dark,Straw Hat (Dark)
G_Aviator,Aviator Glasses
G_Balaclava_blk,Balaclava (Black)
G_Balaclava_combat,Balaclava (Combat Goggles)
G_Balaclava_lowprofile,Balaclava (Low Profile Goggles)
G_Balaclava_oli,Balaclava (Olive)
G_Bandanna_aviator,Bandana (Aviator)
G_Bandanna_beast,Bandana (Beast)
G_Bandanna_blk,Bandana (Black)
G_Bandanna_khk,Bandana (Khaki)
G_Bandanna_oli,Bandana (Olive)
G_Bandanna_shades,Bandana (Shades)
G_Bandanna_sport,Bandana (Sport)
G_Bandanna_tan,Bandana (Tan)
G_Combat,Combat Goggles
G_Combat_Goggles_tna_F,Combat Goggles (Green)
G_Diving,Diving Goggles
G_I_Diving,Diving Goggles [AAF]
G_O_Diving,Diving Goggles [CSAT]
G_B_Diving,Diving Goggles [NATO]
G_Lady_Blue,Ladies Shades
G_Lady_Red,Ladies Shades (Fire)
G_Lady_Mirror,Ladies Shades (Iridium)
G_Lady_Dark,Ladies Shades (Sea)
G_Lowprofile,Low Profile Goggles
G_Shades_Black,Shades (Black)
G_Shades_Blue,Shades (Blue)
G_Shades_Green,Shades (Green)
G_Shades_Red,Shades (Red)
G_Spectacles,Spectacle Glasses
G_Sport_Red,Sport Shades (Fire)
G_Sport_Blackyellow,Sport Shades (Poison)
G_Sport_BlackWhite,Sport Shades (Shadow)
G_Sport_Checkered,Sport Shades (Style)
G_Sport_Blackred,Sport Shades (Vulcan)
G_Sport_Greenblack,Sport Shades (Yetti)
G_Squares_Tinted,Square Shades
G_Squares,Square Spectacles
G_Balaclava_TI_G_blk_F,Stealth Balaclava (Black, Goggles)
G_Balaclava_TI_blk_F,Stealth Balaclava (Black)
G_Balaclava_TI_G_tna_F,Stealth Balaclava (Green, Goggles)
G_Balaclava_TI_tna_F,Stealth Balaclava (Green)
G_Tactical_Clear,Tactical Glasses
G_Tactical_Black,Tactical Shades
G_Spectacles_Tinted,Tinted Spectacles
G_Goggles_VR,VR Goggles
acc_flashlight,Flashlight
acc_pointer_IR,IR Laser Pointer
bipod_01_F_blk,Bipod (Black) [NATO]
bipod_01_F_khk,Bipod (Khaki) [NATO]
bipod_01_F_mtp,Bipod (MTP) [NATO]
bipod_01_F_snd,Bipod (Sand) [NATO]
bipod_02_F_blk,Bipod (Black) [CSAT]
bipod_02_F_hex,Bipod (Hex) [CSAT]
bipod_02_F_tan,Bipod (Tan) [CSAT]
bipod_03_F_blk,Bipod (Black) [AAF]
bipod_03_F_oli,Bipod (Olive) [AAF]
optic_Aco,ACO (Red)
optic_ACO_grn,ACO (Green)
optic_ACO_grn_smg,ACO SMG (Green)
optic_Aco_smg,ACO SMG (Red)
optic_AMS,AMS (Black)
optic_AMS_khk,AMS (Khaki)
optic_AMS_snd,AMS (Sand)
optic_Arco,ARCO
optic_Arco_blk_F,ARCO (Black)
optic_Arco_ghex_F,ARCO (Green Hex)
optic_DMS,DMS
optic_DMS_ghex_F,DMS (Green Hex)
optic_ERCO_blk_F,ERCO (Black)
optic_ERCO_khk_F,ERCO (Khaki)
optic_ERCO_snd_F,ERCO (Sand)
optic_Hamr,RCO
optic_Hamr_khk_F,RCO (Khaki)
optic_Holosight,Mk17 Holosight
optic_Holosight_blk_F,Mk17 Holosight (Black)
optic_Holosight_khk_F,Mk17 Holosight (Khaki)
optic_Holosight_smg,Mk17 Holosight SMG
optic_Holosight_smg_blk_F,Mk17 Holosight SMG (Black)
optic_KHS_blk,Kahlia (Black)
optic_KHS_hex,Kahlia (Hex)
optic_KHS_old,Kahlia (Old)
optic_KHS_tan,Kahlia (Tan)
optic_LRPS,LRPS
optic_LRPS_ghex_F,LRPS (Green Hex)
optic_LRPS_tna_F,LRPS (Tropic)
optic_MRCO,MRCO
optic_MRD,MRD
optic_Nightstalker,Nightstalker
optic_NVS,NVS
optic_SOS,MOS
optic_SOS_khk_F,MOS (Khaki)
optic_tws,TWS
optic_tws_mg,TWS MG
optic_Yorris,Yorris J2
muzzle_snds_338_black,Sound Suppressor (.338, Black)
muzzle_snds_338_green,Sound Suppressor (.338, Green)
muzzle_snds_338_sand,Sound Suppressor (.338, Sand)
muzzle_snds_58_blk_F,Sound Suppressor (5.8 mm, Black)
muzzle_snds_58_wdm_F,Sound Suppressor (5.8 mm, Green Hex)
muzzle_snds_65_TI_blk_F,Stealth Sound Suppressor (6.5 mm, Black)
muzzle_snds_65_TI_ghex_F,Stealth Sound Suppressor (6.5 mm, Green Hex)
muzzle_snds_65_TI_hex_F,Stealth Sound Suppressor (6.5 mm, Hex)
muzzle_snds_93mmg,Sound Suppressor (9.3mm, Black)
muzzle_snds_93mmg_tan,Sound Suppressor (9.3mm, Tan)
muzzle_snds_acp,Sound Suppressor (.45 ACP)
muzzle_snds_B,Sound Suppressor (7.62 mm)
muzzle_snds_B_khk_F,Sound Suppressor (7.62 mm, Khaki)
muzzle_snds_B_snd_F,Sound Suppressor (7.62 mm, Sand)
muzzle_snds_H,Sound Suppressor (6.5 mm)
muzzle_snds_H_khk_F,Sound Suppressor (6.5 mm, Khaki)
muzzle_snds_H_MG,Sound Suppressor LMG (6.5 mm)
muzzle_snds_H_MG_blk_F,Sound Suppressor LMG (6.5 mm, Black)
muzzle_snds_H_MG_khk_F,Sound Suppressor LMG (6.5 mm, Khaki)
muzzle_snds_H_snd_F,Sound Suppressor (6.5 mm, Sand)
muzzle_snds_L,Sound Suppressor (9 mm)
muzzle_snds_M,Sound Suppressor (5.56 mm)
muzzle_snds_m_khk_F,Sound Suppressor (5.56 mm, Khaki)
muzzle_snds_m_snd_F,Sound Suppressor (5.56 mm, Sand)
Binocular,Binoculars
ItemCompass,Compass
Laserbatteries,Designator Batteries
FirstAidKit,First Aid Kit
ItemGPS,GPS
Laserdesignator,Laser Designator (AAF)
Laserdesignator_02,Laser Designator (CSAT)
Laserdesignator_03,Laser Designator (NATO)
ItemMap,Map
Medikit,Medikit
MineDetector,Mine Detector
NVGoggles_INDEP,NV Goggles (AAF)
NVGoggles_OPFOR,NV Goggles (CSAT)
NVGoggles,NV Goggles (NATO)
ItemRadio,Radio
Rangefinder,Rangefinder
ToolKit,Toolkit
I_UavTerminal,UAV Terminal (AAF)
O_UavTerminal,UAV Terminal (CSAT)
B_UavTerminal,UAV Terminal (NATO)
ItemWatch,Watch
